ID,Name,Gender,Age,Height (cm),Weight (kg),Country,Continent,Year,Season,Sport,Event,Medal
1,Jean-François Blanchy,Male,33,184,64,Russia,Europe,1986,Summer,Weightlifting,Men's 77kg,
2,Arnaud Boetsch,Male,22,194,89,China,Asia,1986,Winter,Skiing,Alpine Skiing,
3,Jean Borotra,Male,33,183,77,South Korea,Asia,1986,Summer,Athletics,100m Sprint,
4,Jacques Brugnon,Female,32,182,65,Japan,Asia,1986,Summer,Basketball,Women's Tournament,Bronze
5,Albert Canet,Male,18,195,90,South Korea,Asia,1986,Summer,Gymnastics,Floor Exercise,
6,Nicolas Chatelain,Male,34,183,53,UK,Europe,1986,Summer,Basketball,Women's Tournament,
7,Patrick Chila,Male,29,184,95,Italy,Europe,1986,Summer,Swimming,200m Butterfly,Gold
8,Henri Cochet,Female,36,196,113,Japan,Asia,1986,Summer,Athletics,Marathon,Bronze
9,Marcel Cousin,Male,40,172,86,Russia,Europe,1986,Winter,Skiing,Alpine Skiing,
10,Guy de la Chapelle,Female,31,185,87,Italy,Europe,1986,Summer,Weightlifting,Women's 58kg,
11,"Élie, Comte de Lastours",Male,31,196,90,Brazil,South America,1986,Winter,Ice Hockey,Women's Ice Hockey,Gold
12,Max Decugis,Male,18,175,98,Brazil,South America,1986,Winter,Skiing,Cross-Country,Silver
13,J. Defert,Male,35,164,63,Germany,Europe,1986,Summer,Athletics,Marathon,
14,Étienne Durand,Male,23,174,102,France,Europe,1986,Summer,Swimming,100m Freestyle,
15,Damien Éloi,Female,26,169,72,South Africa,Africa,1986,Summer,Gymnastics,Vault,Bronze
16,Adrien Fauchier-Magnan,Female,40,151,120,Brazil,South America,1986,Summer,Football,Men's Football,
17,Guy Forget,Female,29,165,94,Japan,Asia,1986,Winter,Ice Hockey,Men's Ice Hockey,Silver
18,Jean-Philippe Gatien,Male,28,199,85,USA,North America,1986,Summer,Gymnastics,Floor Exercise,
19,Maurice Germot,Female,19,160,65,Brazil,South America,1986,Summer,Basketball,Women's Tournament,
20,André Gobert,Female,30,188,106,India,Asia,1986,Summer,Football,Men's Football,Silver
21,Pierre Hirsch,Female,25,186,78,Russia,Europe,1986,Summer,Basketball,Women's Tournament,Bronze
22,René Lacoste,Female,18,198,99,South Africa,Africa,1986,Summer,Basketball,Men's Tournament,Silver
23,Daniel Lawton,Female,19,150,55,UK,Europe,1986,Winter,Ice Hockey,Women's Ice Hockey,
24,Paul Lebreton,Female,27,194,106,Japan,Asia,1986,Summer,Weightlifting,Men's 77kg,Gold
25,Paul Lecaron,Male,20,170,101,Brazil,South America,1986,Summer,Weightlifting,Men's 77kg,Gold
26,Henri Leconte,Female,37,200,102,UK,Europe,1986,Summer,Swimming,200m Butterfly,
27,Christophe Legoût,Male,18,161,86,China,Asia,1986,Summer,Basketball,Women's Tournament,Gold
28,"Guy, Baron Lejeune",Male,30,175,114,Australia,Oceania,1986,Summer,Basketball,Men's Tournament,Gold
29,Albert Lippmann,Male,20,181,119,South Africa,Africa,1986,Winter,Skiing,Cross-Country,
30,Édouard Mény de Marangue,Female,29,179,106,Spain,Europe,1986,Summer,Football,Women's Football,Bronze
31,André Prévost,Male,27,178,111,India,Asia,1986,Summer,Weightlifting,Women's 58kg,Bronze
32,Guillaume Raoux,Female,38,194,91,USA,North America,1986,Summer,Football,Men's Football,Silver
33,Stéphane Renault,Male,33,179,108,Italy,Europe,1986,Winter,Ice Hockey,Men's Ice Hockey,Gold
34,Jean-Pierre Samazeuilh,Female,40,185,105,USA,North America,1986,Summer,Swimming,100m Freestyle,Silver
35,Fabrice Santoro,Female,25,153,110,China,Asia,1986,Summer,Basketball,Men's Tournament,
36,Étienne Thobois,Female,37,157,94,Australia,Oceania,1986,Winter,Ice Hockey,Men's Ice Hockey,Gold
37,Pierre Verdé-Delisle,Male,33,193,54,Spain,Europe,1986,Summer,Athletics,200m Sprint,Gold
38,Helen Aitchison,Female,19,194,90,USA,North America,1986,Winter,Ice Hockey,Women's Ice Hockey,
39,Geraldine Beamish,Male,38,159,80,Brazil,South America,1986,Summer,Football,Women's Football,
40,Dora Boothby,Male,19,174,68,China,Asia,1986,Summer,Football,Men's Football,
41,Julie Bradbury,Male,20,154,58,India,Asia,1986,Summer,Gymnastics,Floor Exercise,
42,Gillian Clark,Male,30,176,120,Germany,Europe,1986,Winter,Ice Hockey,Men's Ice Hockey,Silver
43,Mildred Coles,Female,29,177,119,India,Asia,1986,Summer,Athletics,Marathon,Silver
44,Evelyn Colyer,Male,35,174,60,Germany,Europe,1986,Summer,Weightlifting,Women's 58kg,Bronze
45,Charlotte Cooper,Female,32,158,62,Japan,Asia,1986,Summer,Basketball,Men's Tournament,
46,Phyllis Covell,Male,36,156,95,China,Asia,1986,Summer,Athletics,Marathon,
47,Gladys Eastlake-Smith,Male,20,174,94,China,Asia,1986,Winter,Ice Hockey,Women's Ice Hockey,
48,Sara Gomer,Male,25,186,108,China,Asia,1986,Summer,Basketball,Women's Tournament,
49,Alison Gordon,Female,37,156,74,Italy,Europe,1986,Winter,Skiing,Alpine Skiing,
50,Gillian Gowers,Male,40,177,83,China,Asia,1986,Winter,Skiing,Cross-Country,
51,Alice Greene,Male,35,154,62,Brazil,South America,1986,Summer,Swimming,100m Freestyle,
52,Edith Hannam,Male,37,165,117,USA,North America,1986,Summer,Weightlifting,Women's 58kg,Gold
53,Dorothy Holman,Male,29,166,99,Germany,Europe,1986,Summer,Gymnastics,Floor Exercise,Bronze
54,Andrea Holt,Male,34,155,98,UK,Europe,1986,Summer,Weightlifting,Women's 58kg,
55,Monique Javer,Male,29,196,94,UK,Europe,1986,Summer,Swimming,100m Freestyle,
56,Valda Lake,Female,21,166,90,Germany,Europe,1986,Winter,Ice Hockey,Men's Ice Hockey,
57,Dorothy Lambert Chambers,Female,33,200,51,Russia,Europe,1986,Winter,Ice Hockey,Women's Ice Hockey,
58,Lisa Lomas,Female,20,199,107,South Korea,Asia,1986,Summer,Swimming,100m Freestyle,Gold
59,Kitty McKane,Male,25,175,97,Japan,Asia,1986,Winter,Skiing,Cross-Country,
60,Winifred McNair,Male,34,184,85,Russia,Europe,1986,Summer,Basketball,Men's Tournament,
61,Kelly Morgan,Female,25,174,51,France,Europe,1986,Summer,Gymnastics,Vault,Gold
62,Agatha Morton,Female,27,186,84,Australia,Oceania,1986,Summer,Football,Women's Football,Silver
63,Jo Muggeridge,Female,25,155,58,USA,North America,1986,Summer,Football,Men's Football,Gold
64,Mabel Parton,Female,25,181,61,USA,North America,1986,Summer,Athletics,200m Sprint,Silver
65,Violet Pinckney,Female,39,169,91,Japan,Asia,1986,Summer,Gymnastics,Vault,
66,Sara Sankey,Female,36,194,112,South Korea,Asia,1986,Summer,Football,Men's Football,
67,Phyllis Satterthwaite,Female,18,173,100,China,Asia,1986,Summer,Football,Women's Football,Silver
68,Dorothy Shepherd-Barron,Female,37,190,59,USA,North America,1986,Summer,Swimming,200m Butterfly,
69,Sam Smith,Male,38,187,67,South Africa,Africa,1986,Summer,Swimming,100m Freestyle,Bronze
70,Helen Troke,Female,22,172,65,Brazil,South America,1986,Summer,Swimming,200m Butterfly,
71,Ruth Winch,Female,30,179,101,UK,Europe,1986,Winter,Skiing,Alpine Skiing,
72,Clare Wood,Male,30,150,92,Russia,Europe,1986,Summer,Weightlifting,Men's 77kg,Bronze
73,Joanne Wright-Goode,Female,21,165,53,Japan,Asia,1986,Summer,Swimming,200m Butterfly,
74,Sky Andrew,Female,40,164,108,France,Europe,1986,Winter,Skiing,Cross-Country,Silver
75,Simon Archer,Male,21,161,68,Spain,Europe,1986,Summer,Basketball,Women's Tournament,
76,Roper Barrett,Female,22,156,113,China,Asia,1986,Summer,Athletics,200m Sprint,
77,Jeremy Bates,Male,26,161,112,France,Europe,1986,Summer,Athletics,100m Sprint,
78,Alfred Beamish,Male,22,167,99,Russia,Europe,1986,Summer,Weightlifting,Men's 77kg,
79,John Pius Boland,Female,26,195,105,Australia,Oceania,1986,Summer,Athletics,Marathon,Bronze
80,Neil Broad,Male,31,165,119,South Africa,Africa,1986,Winter,Skiing,Cross-Country,
81,George Caridia,Female,23,166,108,Russia,Europe,1986,Summer,Swimming,200m Butterfly,Silver
82,Andrew Castle,Male,28,196,81,India,Asia,1986,Summer,Athletics,100m Sprint,Bronze
83,Clement Cazalet,Male,33,200,103,UK,Europe,1986,Summer,Football,Men's Football,
84,Xinhua Chen,Female,35,157,115,Germany,Europe,1986,Winter,Ice Hockey,Men's Ice Hockey,Gold
85,Alan Cooke,Male,31,171,68,China,Asia,1986,Summer,Weightlifting,Women's 58kg,Bronze
86,Walter Crawley,Male,19,169,84,Spain,Europe,1986,Summer,Athletics,Marathon,
87,Charles Dixon,Male,32,186,96,Germany,Europe,1986,Summer,Gymnastics,Vault,Silver
88,Laurie Doherty,Female,27,166,97,South Korea,Asia,1986,Summer,Gymnastics,Vault,Silver
89,Reggie Doherty,Female,34,197,64,Germany,Europe,1986,Winter,Skiing,Cross-Country,Bronze
90,Desmond Douglas,Female,30,174,57,USA,North America,1986,Winter,Skiing,Cross-Country,
91,Wilberforce Eaves,Female,29,194,116,Spain,Europe,1986,Summer,Swimming,200m Butterfly,Bronze
92,Lionel Escombe,Male,30,197,109,India,Asia,1986,Summer,Swimming,200m Butterfly,
93,Anne Gibson,Female,20,159,116,Germany,Europe,1986,Winter,Skiing,Alpine Skiing,Gold
94,Brian Gilbert,Male,37,171,109,Australia,Oceania,1986,Summer,Gymnastics,Vault,
